ticker,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
CMPX,2024-06-26 15:30:00+00:00,2024-06-26 18:30:00+00:00,0.9809,1.07,8.984,target,0.6005,1
CMPX,2024-07-02 16:30:00+00:00,2024-07-02 19:30:00+00:00,0.8801,0.918,4.206,timeout,0.6052,1
CMPX,2024-07-05 17:30:00+00:00,2024-07-08 13:30:00+00:00,0.796,0.83,4.171,timeout,0.6033,1
URG,2024-08-05 14:30:00+00:00,2024-08-05 17:30:00+00:00,0.9657,1.025,6.041,timeout,0.6109,1
SVM,2024-08-05 14:30:00+00:00,2024-08-05 17:30:00+00:00,3.06,3.125,2.024,timeout,0.6043,1
BFH,2024-08-05 14:30:00+00:00,2024-08-05 17:30:00+00:00,43.97,44.855,1.913,timeout,0.6041,1
CMPX,2024-08-05 19:30:00+00:00,2024-08-06 15:30:00+00:00,0.9101,0.89,-2.309,timeout,0.6163,0
ASST,2024-08-12 13:30:00+00:00,2024-08-12 14:30:00+00:00,19.74,18.6,-5.875,stop,0.6168,0
IPSC,2024-09-20 14:30:00+00:00,2024-09-20 17:30:00+00:00,1.64,1.64,-0.1,timeout,0.6052,0
SES,2024-09-23 14:30:00+00:00,2024-09-23 15:30:00+00:00,0.7227,0.6791,-6.14,stop,0.6415,0
SES,2024-09-23 15:30:00+00:00,2024-09-23 18:30:00+00:00,0.6646,0.6744,1.375,timeout,0.6013,1
SES,2024-10-31 14:30:00+00:00,2024-10-31 17:30:00+00:00,0.4787,0.4857,1.362,timeout,0.6047,1
SES,2024-11-12 15:30:00+00:00,2024-11-12 16:30:00+00:00,0.323,0.3068,-5.13,stop,0.6028,0
IAUX,2024-11-13 15:30:00+00:00,2024-11-13 18:30:00+00:00,0.3986,0.384,-3.763,stop,0.6166,0
IAUX,2024-11-18 14:30:00+00:00,2024-11-18 15:30:00+00:00,0.38,0.4304,13.15,target,0.6068,1
SES,2024-12-13 15:30:00+00:00,2024-12-13 18:30:00+00:00,0.3903,0.3994,2.232,timeout,0.6075,1
DJCO,2024-12-19 14:30:00+00:00,2024-12-20 14:30:00+00:00,559.5,538.15,-3.916,stop,0.616,0
NEO,2025-01-13 15:30:00+00:00,2025-01-13 16:30:00+00:00,13.135,12.59,-4.249,stop,0.6071,0
MLAB,2025-01-31 19:30:00+00:00,2025-02-03 16:30:00+00:00,136.42,133.13,-2.512,timeout,0.6156,0
CLNE,2025-02-25 15:30:00+00:00,2025-02-25 18:30:00+00:00,1.905,1.825,-4.299,stop,0.6011,0
SES,2025-02-26 15:30:00+00:00,2025-02-26 18:30:00+00:00,0.771,0.7881,2.118,timeout,0.6147,1
IAUX,2025-03-07 16:30:00+00:00,2025-03-07 19:30:00+00:00,0.597,0.6308,5.562,timeout,0.6124,1
ALMS,2025-03-10 14:30:00+00:00,2025-03-10 17:30:00+00:00,4.595,4.82,4.797,timeout,0.6043,1
MLAB,2025-03-10 18:30:00+00:00,2025-03-11 14:30:00+00:00,124.7,128.03,2.57,timeout,0.6232,1
ALMS,2025-03-20 18:30:00+00:00,2025-03-21 14:30:00+00:00,3.515,3.76,6.87,timeout,0.6205,1
NFGC,2025-03-25 14:30:00+00:00,2025-03-25 17:30:00+00:00,1.1501,1.165,1.196,timeout,0.6051,1
NFGC,2025-03-25 15:30:00+00:00,2025-03-25 18:30:00+00:00,1.1,1.145,3.991,timeout,0.6058,1
RDDT,2025-03-31 14:30:00+00:00,2025-03-31 17:30:00+00:00,100.08,105.325,5.141,timeout,0.6042,1
TYRA,2025-04-03 14:30:00+00:00,2025-04-03 17:30:00+00:00,8.09,8.16,0.765,timeout,0.61,1
DNN,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,1.1501,1.1911,3.465,timeout,0.6167,1
MLAB,2025-04-04 14:30:00+00:00,2025-04-04 15:30:00+00:00,97.21,106.24,9.189,target,0.6072,1
VG,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,7.54,7.51,-0.498,timeout,0.6035,0
BEAM,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,15.06,15.2,0.83,timeout,0.6146,1
SYF,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,41.82,43.79,4.611,timeout,0.6106,1
QRVO,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,55.455,56.92,2.542,timeout,0.6152,1
ABSI,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,2.05,2.125,3.559,timeout,0.606,1
OII,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,17.1,17.0,-0.685,timeout,0.6051,0
SABR,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,2.105,2.12,0.613,timeout,0.6016,1
GLNG,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,29.73,30.225,1.565,timeout,0.6009,1
ALLY,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,30.61,32.09,4.735,timeout,0.6042,1
GTLS,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,108.0,113.63,5.113,timeout,0.6158,1
CLB,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,11.905,11.92,0.026,timeout,0.6038,1
ECG,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,31.94,32.99,3.187,timeout,0.6051,1
EXPE,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,142.18,142.27,-0.037,timeout,0.6093,0
RDDT,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,86.06,87.05,1.05,timeout,0.6223,1
CGON,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,16.71,17.01,1.695,timeout,0.6058,1
RCL,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,174.52,178.165,1.989,timeout,0.6096,1
SRPT,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,52.265,52.415,0.187,timeout,0.6024,1
SNOW,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,127.785,130.355,1.911,timeout,0.601,1
EXPE,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,138.11,138.635,0.28,timeout,0.6107,1
WEX,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,122.75,120.075,-2.279,timeout,0.6087,0
DJCO,2025-04-07 16:30:00+00:00,2025-04-08 18:30:00+00:00,368.13,364.765,-1.014,timeout,0.6017,0
GTLS,2025-04-10 15:30:00+00:00,2025-04-10 18:30:00+00:00,121.455,120.51,-0.878,timeout,0.6059,0
BFH,2025-04-10 15:30:00+00:00,2025-04-10 18:30:00+00:00,44.77,44.43,-0.859,timeout,0.6013,0
DJCO,2025-04-11 13:30:00+00:00,2025-04-14 13:30:00+00:00,367.105,389.9,6.109,timeout,0.6257,1
DJCO,2025-04-23 13:30:00+00:00,2025-04-23 19:30:00+00:00,392.05,373.52,-4.826,stop,0.6118,0
ISOU,2025-06-10 14:30:00+00:00,2025-06-10 17:30:00+00:00,7.485,7.336,-2.091,timeout,0.6391,0
NFGC,2025-10-21 14:30:00+00:00,2025-10-21 17:30:00+00:00,2.1458,2.135,-0.603,timeout,0.6314,0
IPSC,2026-01-29 15:30:00+00:00,2026-01-29 18:30:00+00:00,2.11,2.055,-2.707,timeout,0.6017,0
RDDT,2026-02-04 15:30:00+00:00,2026-02-04 16:30:00+00:00,155.59,147.585,-5.245,stop,0.6103,0
TREE,2026-02-04 16:30:00+00:00,2026-02-04 19:30:00+00:00,45.99,45.24,-1.731,timeout,0.6063,0
CVNA,2026-02-11 16:30:00+00:00,2026-02-11 19:30:00+00:00,69.9724,72.73,3.841,timeout,0.6226,1
IQV,2026-02-12 15:30:00+00:00,2026-02-12 16:30:00+00:00,167.53,160.65,-4.207,stop,0.6032,0
SABR,2026-02-20 18:30:00+00:00,2026-02-23 14:30:00+00:00,0.9102,0.9044,-0.737,timeout,0.6031,0
ISOU,2026-03-03 15:30:00+00:00,2026-03-03 18:30:00+00:00,10.795,11.36,5.134,timeout,0.6012,1
PEGA,2026-04-23 14:30:00+00:00,2026-04-23 17:30:00+00:00,35.26,35.75,1.29,timeout,0.602,1
OIO,2026-04-24 14:30:00+00:00,2026-04-24 15:30:00+00:00,5.7,3.98,-30.275,stop,0.6141,0
OIO,2026-05-18 19:30:00+00:00,2026-05-19 15:30:00+00:00,1.82,1.79,-1.748,timeout,0.6063,0
OIO,2026-06-03 16:30:00+00:00,2026-06-04 13:30:00+00:00,1.9197,1.8301,-4.767,stop,0.6016,0
